FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-01-01,2025,1,MONACO,LN,11.1548,17,FALSE
2025-01-01,2025,1,MONTENEGRO,LY,4772.9668,631,FALSE
2025-01-01,2025,1,NETHERLANDS,EH,818049.68554,23017,FALSE
2025-01-01,2025,1,NORTH MACEDONIA,LW,11288.06352,913,FALSE
2025-01-01,2025,1,NORWAY,EN,199070.46218,24739,TRUE
2025-01-01,2025,1,POLAND,EP,322035.77736,17869,FALSE
2025-01-01,2025,1,PORTUGAL,LP,398913.9374,16725,TRUE
2025-01-01,2025,1,ROMANIA,LR,119266.23544,8038,FALSE
2025-01-01,2025,1,SERBIA,LY,45741.8719,3335,FALSE
2025-01-01,2025,1,SLOVAKIA,LZ,11405.67972,937,FALSE
2025-01-01,2025,1,SLOVENIA,LJ,5773.3444,816,FALSE
2025-01-01,2025,1,SPAIN,LE,1313306.95836,58786,FALSE
2025-01-01,2025,1,SWEDEN,ES,158127.2141,12769,FALSE
2025-01-01,2025,1,SWITZERLAND,LS,448362.76222,19426,FALSE
2025-01-01,2025,1,TÜRKIYE,LT,1419698.50168,52986,FALSE
2025-01-01,2025,1,UNITED KINGDOM,EG,2657204.2265,78842,TRUE
2025-02-01,2025,2,ALBANIA,LA,26966.9529,2034,FALSE
2025-02-01,2025,2,ARMENIA,UD,25621.81088,1181,FALSE
2025-02-01,2025,2,AUSTRIA,LO,196878.97706,11822,FALSE
2025-02-01,2025,2,BELGIUM,EB,402521.29238,10989,FALSE
2025-02-01,2025,2,BOSNIA AND HERZEGOVINA,LQ,7121.99628,743,FALSE
2025-02-01,2025,2,BULGARIA,LB,43489.90992,2880,FALSE
2025-02-01,2025,2,CANARY ISLANDS,GC,356365.32538,18714,FALSE
2025-02-01,2025,2,CROATIA,LD,18726.65534,2411,FALSE
2025-02-01,2025,2,CYPRUS,LC,47115.23582,2353,FALSE
2025-02-01,2025,2,CZECHIA,LK,81017.78556,5079,FALSE
2025-02-01,2025,2,DENMARK,EK,204978.6328,11424,TRUE
2025-02-01,2025,2,ESTONIA,EE,13762.85966,1488,FALSE
2025-02-01,2025,2,FINLAND,EF,183300.29058,8539,FALSE
2025-02-01,2025,2,FRANCE,LF,1496169.91418,62028,FALSE
2025-02-01,2025,2,GEORGIA,UG,53260.7417,2108,FALSE
2025-02-01,2025,2,GERMANY,ED,1843200.96814,64621,FALSE
2025-02-01,2025,2,GREECE,LG,137853.3402,12808,FALSE
2025-02-01,2025,2,HUNGARY,LH,119643.80044,4916,FALSE
2025-02-01,2025,2,ICELAND,BI,22669.0785,1384,FALSE
2025-02-01,2025,2,IRELAND,EI,182715.81312,9734,FALSE
2025-02-01,2025,2,ITALY,LI,973545.03648,55829,FALSE
2025-02-01,2025,2,KOSOVO,BK,14427.44452,1003,FALSE
2025-02-01,2025,2,LATVIA,EV,26609.17478,2075,FALSE
2025-02-01,2025,2,LITHUANIA,EY,28621.72376,2144,FALSE
2025-02-01,2025,2,LUXEMBOURG,EL,127495.0708,2344,FALSE
2025-02-01,2025,2,MALTA,LM,36039.68176,2324,FALSE
2025-02-01,2025,2,"MOLDOVA, REPUBLIC OF",LU,18319.5798,1124,FALSE
2025-02-01,2025,2,MONACO,LN,13.47424,21,FALSE
2025-02-01,2025,2,MONTENEGRO,LY,3884.95088,535,FALSE
2025-02-01,2025,2,NETHERLANDS,EH,761813.47668,22773,FALSE
2025-02-01,2025,2,NORTH MACEDONIA,LW,9142.20548,728,FALSE
2025-02-01,2025,2,NORWAY,EN,194825.30238,23881,TRUE
2025-02-01,2025,2,POLAND,EP,289642.7002,17226,FALSE
2025-02-01,2025,2,PORTUGAL,LP,371940.51386,16312,TRUE
2025-02-01,2025,2,ROMANIA,LR,105834.33978,7430,FALSE
2025-02-01,2025,2,SERBIA,LY,38242.49244,2912,FALSE
2025-02-01,2025,2,SLOVAKIA,LZ,10608.92174,975,FALSE
2025-02-01,2025,2,SLOVENIA,LJ,5547.66506,761,FALSE
2025-02-01,2025,2,SPAIN,LE,1246888.7597,59237,FALSE
2025-02-01,2025,2,SWEDEN,ES,153439.90336,13241,FALSE
2025-02-01,2025,2,SWITZERLAND,LS,420440.1201,19297,FALSE
2025-02-01,2025,2,TÜRKIYE,LT,1221845.8614,45098,FALSE
2025-02-01,2025,2,UNITED KINGDOM,EG,2476428.2268,79447,TRUE
2025-03-01,2025,3,ALBANIA,LA,31640.85448,2355,FALSE
2025-03-01,2025,3,ARMENIA,UD,31070.20072,1406,FALSE
2025-03-01,2025,3,AUSTRIA,LO,226848.14034,13587,FALSE
2025-03-01,2025,3,BELGIUM,EB,479090.2035,12822,FALSE
2025-03-01,2025,3,BOSNIA AND HERZEGOVINA,LQ,8266.23862,826,FALSE
2025-03-01,2025,3,BULGARIA,LB,49137.02586,3269,FALSE
2025-03-01,2025,3,CANARY ISLANDS,GC,410608.48078,21894,FALSE
2025-03-01,2025,3,CROATIA,LD,25070.11482,3025,FALSE
2025-03-01,2025,3,CYPRUS,LC,61581.17926,2945,FALSE
2025-03-01,2025,3,CZECHIA,LK,95979.4625,6099,FALSE
2025-03-01,2025,3,DENMARK,EK,237667.71914,13497,TRUE
2025-03-01,2025,3,ESTONIA,EE,16774.868300000002,1765,FALSE
2025-03-01,2025,3,FINLAND,EF,197610.5616,9455,FALSE
2025-03-01,2025,3,FRANCE,LF,1712444.9017,71999,FALSE
2025-03-01,2025,3,GEORGIA,UG,65745.13016,2507,FALSE
2025-03-01,2025,3,GERMANY,ED,2215374.41348,76721,FALSE
2025-03-01,2025,3,GREECE,LG,184756.27994,15701,FALSE
2025-03-01,2025,3,HUNGARY,LH,145342.43444,5758,FALSE
2025-03-01,2025,3,ICELAND,BI,30304.33836,1669,FALSE
2025-03-01,2025,3,IRELAND,EI,240371.26852,11762,FALSE
