YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2022,1,JAN,EBAW,Antwerpen Deurne,Belgium,343,4823.90451861847,1796.4806117998091,74640,42280,2951.5625,56,85,7840.796185,3040.025576,340,1115.538050734478,251.662709579815,14240,5720,23000,234,293,932.80442,199.073294,Antwerpen Deurne (EBAW)
2022,1,JAN,EBBE,Beauvechain,Belgium,2,7.857063742592909,7.857063742592909,180,180,3226.8429487179483,0,0,0,0,2,4.15318553171873,4.15318553171873,120,120,5479.545454545455,0,0,0,0,Beauvechain (EBBE)
2022,1,JAN,EBBR,Brussels,Belgium,5102,80609.7497382016,11279.439279604101,862020,208220,3959.417229729729,827,1909,659405.5086979999,197211.82551,5114,19248.1406175628,369.4122432677121,161880,5420,35000,3782,4931,43376.472568000005,4762.771,Brussels (EBBR)
2022,1,JAN,EBCI,Charleroi,Belgium,1480,26032.090387279,3673.648855038882,294580,68480,5612.5,215,565,164730.659001,39787.140419999996,1477,8659.751505025566,1009.2632296140561,80580,15760,36962.5,943,1307,16460.081251,5138.02916,Charleroi (EBCI)
2022,1,JAN,EBCV,Chievres,Belgium,15,386.459467395085,275.507478377661,7060,5700,2505.9523809523807,1,2,1174.578794999999,1084.988045,15,116.02213756397,72.77979338007638,1380,940,15000,12,14,45.79785999999998,21.61938999999995,Chievres (EBCV)
2022,1,JAN,EBFN,Koksijde,Belgium,1,26.98409670704604,26.98409670704604,980,980,2815.760869565217,0,0,0,0,1,0,0,0,0,8000,1,1,0,0,Koksijde (EBFN)
2022,1,JAN,EBKT,Wevelgem/Kortrijk,Belgium,166,2182.5806379868104,901.2888115554831,39740,23000,2558.3774171564864,32,45,1683.5600030000003,1084.083001,150,403.60010480048703,33.06530441601126,4880,900,23000,121,141,239.561518,0.1690900000000006,Wevelgem/Kortrijk (EBKT)
2022,1,JAN,EBLG,Liege,Belgium,1627,28157.067440610503,5372.266781662237,320260,106480,3377.3584905660373,197,476,386164.61296299996,152997.296661,1694,4024.3360062338834,353.65434252162004,35960,6540,33000,1376,1604,19291.884063,6145.43546,Liege (EBLG)
2022,1,JAN,EBNM,Namur,Belgium,1,7.77031587473002,7.77031587473002,180,180,5985.781249999999,0,0,0,0,2,19.226586873050138,19.226586873050138,560,560,4250.868055555556,0,0,0,0,Namur (EBNM)
2022,1,JAN,EBOS,Oostende,Belgium,266,4565.736238404671,2385.860740815855,72120,48880,5565.6431487551035,32,58,43119.141056,32802.876441,259,961.9381729156411,261.126292539736,10780,4300,31000,188,245,1458.1202720000001,-8.74904999999998,Oostende (EBOS)
2022,1,JAN,EBSP,Spa,Belgium,2,7.401907847372209,7.401907847372209,180,180,5010.416666666666,1,1,-0.55335,-0.55335,2,0,0,0,0,17000,2,2,0,0,Spa (EBSP)
2022,1,JAN,EBST,St Truiden,Belgium,6,86.8833450503467,73.7345068475128,2160,1880,7452.818223443211,2,3,0,0,2,3.93607855633844,1.0799136069114499,120,40,15280,1,1,0,0,St Truiden (EBST)
