DATAFLOW,LAST UPDATE,freq,schedule,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2022-10,533348,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2022-11,421241,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2022-12,427687,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-01,408219,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-02,384441,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-03,448635,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-04,508754,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-05,563479,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-06,594414,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-07,640591,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-08,637012,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-09,606858,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-10,581273,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-11,453423,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2023-12,458900,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-01,428294,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-02,418738,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-03,481317,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-04,545338,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-05,605845,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-06,631319,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-07,671653,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-08,670807,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-09,636345,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-10,603508,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-11,473283,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2024-12,483918,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-01,450135,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-02,431983,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-03,506313,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-04,574349,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-05,626765,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-06,648707,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-07,690855,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-08,693046,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-09,653072,,
ESTAT:AVIA_TF_CM(1.0),10/11/25 23:00:00,Monthly,Total,Number,European Union - 27 countries (from 2020),2025-10,627612,,
